read_at,city,area,storage_id,name,day,hour,weekday,capacity,booked,free,status
2026-09-23 17:18,rome,termini,1109,Luggage Storage Termini,2026-09-23,18,weekday,300,50,250,read
2026-09-23 17:18,rome,termini,6453333,Luggage Storage Termini / Piazza Dei Cinquecento,2026-09-23,18,weekday,100,1,99,read
2026-09-23 17:18,rome,tiburtina,4763,Luggage Storage Tiburtina Terminal,2026-09-23,18,weekday,65,4,61,read
2026-09-23 17:18,rome,termini,739,Luggage Storage Marsala - Termini,2026-09-23,18,weekday,200,2,198,read
2026-09-23 17:18,rome,trastevere,913,Luggage Storage Viale Trastevere,2026-09-23,18,weekday,80,1,79,read
2026-09-23 17:18,rome,roma-vatican-museums,6459809,Luggage Storage near Vatican Museums,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,tiburtina,4599,Luggage Storage Tiburtina Train Station,2026-09-23,18,weekday,80,11,69,read
2026-09-23 17:18,rome,ostiense,44,Luggage Storage Ostiense,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,navona,21,Luggage Storage Navona,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,termini,1352,Luggage Storage Termini Station,2026-09-23,18,weekday,60,1,59,read
2026-09-23 17:18,rome,vatican,4869,Luggage Storage Vatican City,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,trevi,4738,Luggage Storage Trevi Fountain,2026-09-23,18,weekday,50,1,49,read
2026-09-23 17:18,rome,pantheon,57,Luggage Storage Pantheon - Rome Center,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,san-giovanni,19,Luggage Storage S. Giovanni In Laterano,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,trevi,6450924,Luggage Storage Piazza Barberini,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,trastevere,5598,Luggage Storage Trastevere San Cosimato,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,termini,5684,Luggage Storage Termini Rome,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,porta-s-paolo,5011,Luggage Storage Piramide Metro Station,2026-09-23,18,weekday,60,2,58,read
2026-09-23 17:18,rome,pantheon,4900,Luggage Storage Teatro Argentina,2026-09-23,18,weekday,200,0,200,read
2026-09-23 17:18,rome,termini,4695,Luggage Storage Giolitti / Termini Station,2026-09-23,18,weekday,250,5,245,read
2026-09-23 17:18,rome,pantheon,5067,Luggage Storage Campo De Fiori,2026-09-23,18,weekday,40,5,35,read
2026-09-23 17:18,rome,trevi,6269,Luggage Storage Quirinal Palace,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,s-pietro,4867,Luggage Storage Roma S.pietro Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,navona,849,Luggage Storage Umberto I Bridge,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,ostiense,1828,Luggage Storage Eataly,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,san-giovanni,15,Luggage Storage S.giovanni,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,piazza-del-popolo,9875,Luggage Storage Flaminio Train Station,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,ciampino,9140,Luggage Storage Ciampino Railway Station,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,parioli,8885,Luggage Storage Mancini Bus Terminal,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,termini,7703,Luggage Storage Termini Railway Station,2026-09-23,18,weekday,100,2,98,read
2026-09-23 17:18,rome,esquilino,6984,Luggage Storage Manzoni Metro Station,2026-09-23,18,weekday,50,11,39,read
2026-09-23 17:18,rome,termini,6835,Luggage Storage Cipro Metro Station Area,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,ottaviano,6474434,Luggage Storage Via Germanico / Vatican,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,pantheon,6473158,Luggage Storage Pantheon,2026-09-23,18,weekday,12,6,6,read
2026-09-23 17:18,rome,roma-vatican-museums,6473149,Luggage Storage Via della Giuliana,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,san-giovanni,6473098,Luggage Storage Viale Carlo Felice,2026-09-23,18,weekday,10,0,10,read
2026-09-23 17:18,rome,termini,6473095,Luggage Storage Viminale Bus Stop,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,navona,6473024,Luggage Storage Via della Pace,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,navona,6473023,Luggage Storage Fontana dei Quattro Fiumi,2026-09-23,18,weekday,60,0,60,read
2026-09-23 17:18,rome,navona,6473022,Luggage Storage Navona / Neptune Fountain,2026-09-23,18,weekday,60,0,60,read
2026-09-23 17:18,rome,colosseum,6473021,Luggage Storage Cavour / Ricci,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,termini,6472962,Luggage Storage Termini / Amendola,2026-09-23,18,weekday,18,0,18,read
2026-09-23 17:18,rome,termini,6472955,Luggage Storage Milazzo / Termini Station,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,termini,6472954,Luggage Storage Marsala / Milazzo,2026-09-23,18,weekday,100,1,99,read
2026-09-23 17:18,rome,termini,6472953,Luggage Storage Milazzo / Magenta,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,pantheon,6472396,Luggage Storage near Pantheon,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,rome,flaminio,6472354,Luggage Storage near Piazza del Popolo,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,termini,6471173,Luggage Storage Termini (Ma-Mb-Fs),2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,termini,6471145,Luggage Storage Via Marsala,2026-09-23,18,weekday,100,0,100,read
2026-09-23 17:18,rome,prati,6471093,Luggage Storage Cicerone / Cola di Rienzo,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,pigneto,6470573,Luggage Storage Piazzale Prenestino,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,ostiense,6470456,Luggage Storage Ostiense/Matteucci,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,ostiense,6470455,Luggage Storage near Ostiense,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,ostiense,6470454,Luggage Storage Basilica S. Paolo,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,termini,6470329,Luggage Storage Manin / Termini,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,Municipio-Roma-X,6470296,Luggage Storage Casal Palocco,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,furio-camillo,6470292,Luggage Storage near Colli Albani Metro Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,pigneto-prenestina,6470291,Luggage Storage Ponte Casilino,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,san-giovanni,6470190,Luggage Storage Ponte Lungo Metro Station,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,rome,pigneto,6470156,Luggage Storage Pigneto Metro Station,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,termini,6469828,Luggage Storage Piazza dell'Esquilino,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,rome,repubblica,6469637,Luggage Storage Via Quattro Fontane,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,ostia-1,6468366,Luggage Storage Corso Duca di Genova,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,prati,6468191,Luggage Storage Via degli Scipioni,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,rome,pantheon,6468018,Luggage Storage near Piazza del Gesù,2026-09-23,18,weekday,50,0,50,read
