day,city,points,capacity,peak,peak_pct,last,arrivals
2026-09-23,agrigento,12,120,16,13.3,16,16
2026-09-23,alessandria,2,0,0,,0,0
2026-09-23,ancona,13,110,10,9.1,9,10
2026-09-23,aosta,6,0,2,,2,2
2026-09-23,arezzo,8,15,3,20.0,3,3
2026-09-23,ascoli-piceno,2,0,0,,0,0
2026-09-23,avellino,16,0,0,,0,0
2026-09-23,bari,68,1067,251,23.5,249,251
2026-09-23,belluno,6,0,2,,2,2
2026-09-23,benevento,5,0,0,,0,0
2026-09-23,bergamo,48,275,171,62.2,171,172
2026-09-23,bologna,100,1168,416,35.6,408,416
2026-09-23,bolzano,8,0,21,,21,21
2026-09-23,brescia,53,120,2,1.7,2,2
2026-09-23,brindisi,11,200,14,7.0,13,14
2026-09-23,cagliari,33,0,27,,25,27
2026-09-23,campobasso,3,100,1,1.0,1,1
2026-09-23,caserta,107,120,0,0.0,0,0
2026-09-23,catania,138,1020,152,14.9,148,152
2026-09-23,catanzaro,11,0,1,,1,1
2026-09-23,cesena,26,105,3,2.9,3,3
2026-09-23,chieti,12,25,1,4.0,1,1
2026-09-23,como,29,245,124,50.6,123,124
2026-09-23,cosenza,23,0,0,,0,0
2026-09-23,cremona,7,0,1,,1,1
2026-09-23,crotone,5,100,0,0.0,0,0
2026-09-23,cuneo,1,0,0,,0,0
2026-09-23,enna,3,5,0,0.0,0,0
2026-09-23,ferrara,10,50,3,6.0,3,3
2026-09-23,florence,115,1146,1302,113.6,1290,1305
2026-09-23,foggia,13,20,1,5.0,1,1
2026-09-23,frosinone,43,0,0,,0,0
2026-09-23,genoa,37,256,75,29.3,75,75
2026-09-23,isernia,4,30,0,0.0,0,0
2026-09-23,la-spezia,14,81,49,60.5,48,49
2026-09-23,laquila,8,0,0,,0,0
2026-09-23,latina,35,0,0,,0,0
2026-09-23,lecce,24,525,32,6.1,32,32
2026-09-23,lecco,12,80,16,20.0,16,16
2026-09-23,livorno,10,55,8,14.5,8,8
2026-09-23,lucca,10,142,39,27.5,39,39
2026-09-23,matera,17,35,12,34.3,12,12
2026-09-23,messina,42,120,16,13.3,16,16
2026-09-23,milan,307,3096,2297,74.2,2279,2298
2026-09-23,modena,26,110,27,24.5,26,27
2026-09-23,monza,13,0,2,,2,2
